name,shortName,capacity
ACS Alaska-Oregon Network,AKRON,2621
Aden-Djibouti,,0
ADRIA-1,,0
Africa Coast to Europe Cable System,ACE,5120
Alaska United East,AU-East,50
Alaska United Southeast,AU-SE,0
Alaska United Turnagain Arm,AUTA,0
Alaska United West,AU-West,640
Aletar : Egypt-Syria Fibre Optic Submarine cable,Aletar,0
Alonso de Ojeda,Alonso de Ojeda,20
ALPAL-2,ALPAL-2,160
America Movil Submarine Cable System-1,AMX-1,0
American Samoa-Hawaii,ASH,1
Americas Region Caribbean Ring System (ARCOS-1),ARCOS-1,960
AMERICAS-1 NORTH,Americas-1 North,3
AMERICAS-1 SOUTH,Americas-1 South,1
AMERICAS-II,Americas-II,8
Amerigo Vespucci,,15
Angola Domestic Network System,ADONES,80
ANTILLAS I,,4
Antilles Crossing phase 1,Antilles Crossing phase 1,20
Aphrodite 2,Aphrodite 2,1
Apollo,Apollo,3200
Aqualink,Aqualink,0
ARIANE-2,Ariane-2,1
ARSAT Fiber Optic Cable,ARSAT,0
Asia America Gateway,AAG,2880
Asia Submarine-cable Express/Cahaya Malaysia,ASE,15360
Asia-Pacific Cable Network,APCN,5
Asia-Pacific Cable Network 2,APCN2,2560
Athena,,0
Atlantic Crossing 2 / Yellow,AC-2,640
Atlantic Crossing-1,AC-1,120
ATLANTIS-2,ATLANTIS-2,40
Atlas Offshore Cable System,Atlas Offshore,320
Australia-Japan Cable,AJC,1000
Australia-Papua New Guinea-2,APNG-2,1
Azores Fiber Optic System,AFOS,0
BAHAMAS 2,Bahamas 2,3
Bahamas Domestic Submarine Network international Cable System,BDSNi,0
Bahamas Internet Cable System,BICS,1228
Balalink,Balalink,1024
Balkans-Italy Network,BIN,40
Baltic Sea Submarine Cable,,0
BALTICA,Baltica,60
BARSAV,Barsav,5
Bass Strait-1,Bass Strait-1,0
Bass Strait-2,Bass Strait-2,0
Basslink,Basslink,0
Batam Dumai Melaka Cable System,BDM,0
Batam Singapore Cable System,BSCS,0
Batam-Rengit Cable System,BRCS,10
BCS East,BCS East,240
BCS East-West Interlink,BCS East-West Interlink,160
BCS North - Phase I,BCS North I,245
BCS North - Phase II,BCS North II,240
Beirut-Tartous Cable System (BERYTAR),BERYTAR,5
Bermuda-US (Segment 5) Cable System,BUS-1,30720
Bharat Lanka Cable System,Bharat Lanka Cable System,160
Bicentenario,Bicentenario,3932
Black Sea Fibre Optic Cable System,BSFOCS,20
Boracay-Palawan Submarine Cable System,BPSCS,19661
Botnia Cable System,Botnia,14
British Telecom - Manx Telecom,BT-Manx NI,480
British Telecom - Telecom Ãireann,BT-TE1,0
Brunei-Singapore Cable System,BS,0
BT Highlands and Islands Submarine Cable System,,0
BT-MT-1,BT-MT-1,1
BUGIO,,0
C-Lion1,,0
C2C cable system (North Ring),,0
C2C Cable System (Pacific Ring),,0
C2C Cable System (South Ring),,0
CAM Ring,,0
Canada-USA Cable System,CANUS-1,3
Canadian transatlantic telephone Cable System 3,CANTAT-3,8
Canalink,Canalink,0
Caribbean Atlantic Cable,CARAC,0
Caribbean-Bermuda U.S.,CBUS,480
Caucasus Cable System,CCS,1966
Cayman-Jamaica Fiber System,CJFS,3
Ceiba-1,,0
CeltixConnect,,0
Central North Sea Fibre Telecommunications Company,CNSFTC,0
Challenger Bermuda-1,CB-1,320
Channel Islands-9 Liberty Submarine Cable,Liberty,0
China-Japan Fibre Optic Submarine Cable,C-J FOSC,0
China-Korea Cable,CKC,0
China-US Cable Network,CHUS,80
City to City Cable System,C2C,0
Colombia-Florida Subsea Fiber,CFX-1,150
Columbus II,Columbus II,1
Columbus III,Columbus III,40
Comoros Domestic Cable System,,0
Concerto 1 (Triangular UK-Belgium-the Netherlands Cable System),Concerto 1,1000
Corse-Continent 4,CC4,4
Corse-Continent 5,CC5,0
Corsica-Sardinia Cable System,CORSAR,3
Cross Straits Cable Network,,0
Cuba-Venezuela Cable System- ALBA-1,ALBA-1,5243
Cyprus-Israel Optical System,CIOS,1
Cyprus-Lebanon (CADMOS),CADMOS,1
Danica North,Danica North,960
Danica South,Danica South,240
Danice submarine cable,DANICE,34400
Denmark-Germany 2,Denmark-Germany 2,20
Denmark-Norway 5,Denmark-Norway 5,2
Denmark-Norway 6,Denmark-Norway 6,1695
Denmark-Poland 2,Denmark-Poland 2,3
Denmark-Russia 1,,0
Denmark-Sweden 15,Denmark-Sweden 15,8
Denmark-Sweden 16,Denmark-Sweden 16,6
Denmark-Sweden 17,Denmark-Sweden 17,0
Denmark-Sweden 18,Denmark-Sweden 18,0
Dhiraagu-SLT Submarine Cable Network,Sri Lanka - Maldives (DDSCN),0
Didon,,0
Dumai-Melaka Cable System,DMCS,320
E-LLAN,,0
EAC-C2C,EAC-C2C,0
East Asia Crossing,EAC,2500
EAST-WEST,,0
Eastern Africa Submarine System,EASSy,4720
EASTERN CARIBBEAN FIBRE SYSTEM,ECFS,1
Eastern Mediterranean Optical System 1,EMOS 1,0
ECLink,,0
Elektra-GlobalConnect 1 (GC1),GC1,0
Emerald Bridge Fibres,,0
EsteponaâTetouan,EsteponaâTetouan,4
Estonia-Sweden 1,EE-S 1,40
EURAFRICA,,0
Europe India Gateway,EIG,3932
FARICE-1,FARICE-1,11000
FARLAND North,FARLAND,18
Fehmarn BÃ¤lt,,960
Fiber Optic Gulf,FOG,5
Fiber Optic Gulf 2,FOG2,80
Fibralink,Fibralink,320
Finland Estonia Connection,FEC,0
Finland-Estonia 2 (EESF-2),EESF-2,18
Finland-Estonia 3 (EESF-3),EESF-3,18
FLAG Alcatel-Lucent Optical Network (FALCON),FLAG FALCON,1250
FLAG Atlantic-1,FA-1,4800
FLAG Europe-Asia,FEA,10
FLAG North Asia Loop/REACH North Asia Loop,FLAG FNAL,320
Flores-Corvo Cable System,Flores-Corvo,0
FOS Quellon-Chacabuco,FOS,0
Gemini Bermuda,Gemini,480
Geo-Eirgrid,,0
Georgia-Russia,Georgia Russia,640
Germany-Denmark 1,,0
Germany-Denmark 2,Germany-Denmark 2,20
Germany-Denmark 3,Germany-Denmark 3,0
Germany-Sweden 4 Cable System,,0
Germany-Sweden 5 Cable System,,0
GLO-1,GLO-1,2500
Global Caribbean Network,GCN,2100
Global Nexus,,0
GlobeNet,,7168
GO-1 Mediterranean Cable System,GO-1,20
Gondwana-1,Gondwana-1,640
Greece-Montenegro Cable System,CorfÃ¹âBar,3
Greece-Western Europe Network,GWEN,0
Greenland Connect,Greenland Connect,2560
Guam Okinawa Kyushu Incheon,GOKI,0
Guam-Philippines Fiber Optic Submarine Cable System,G-P,35
Guernsey-Jersey 4,Guernsey-Jersey-4,0
Gulf Bridge International Cable System /Middle East North Africa Cable System,GBICS/MENA,0
HANNIBAL Cable System,HANNIBAL,3200
HANTRU-1 Cable System,HANTRU-1,0
Hawk Cable System,Hawk,20
HERMES-1 Cable System,,0
HERMES-2 Cable System,,0
Hibernia Atlantic,Hibernia Atlantic,1920
HICS (Hawaii Inter-Island Cable System),HICS,0
HIFN (Hawaii Island Fibre Network),HIFN,0
High-capacity Undersea Guernsey Optical-fibre (HUGO),HUGO,60
Hokkaido-Sakhalin Cable System,HSCS,640
Honotua,,0
India-Middle East-Western Europe Cable System,I-ME-WE or IMEWE,0
India-Singapore Cable System,i2i,8400
INGRID,,0
Interchange Cable Network 1,ICN1,0
Isles of Scilly Cable,Isles of Scilly Cable,0
Italy-Albania,Italy-Albania,1244
Italy-Croatia,Italy-Croatia,0
Italy-Greece,Italy-Greece,2
Italy-Libya,Italy-Lybia,120
Italy-Malta,Italy-Malta,0
Italy-Monaco,Italy-Monaco,0
Italy-Turkey-Ukraine-Russia,ITUR,1659
JaKa2LaDeMa,JaKa2LaDeMa,0
JAKABARE,JAKABARE,1280
Janna,Janna,0
Japan Information Highway,jih,0
Japan-US Cable Network,JUS,1280
JASUKA,JASUKA,0
JASURAUS Cable System,JASURAUS,5
Jerry Newton,,0
Jonah (BIOS),,0
Karadeniz Fiber Optic System,KAFOS,1
KATTEGAT-1,KATTEGAT-1,20
KATTEGAT-2,,0
Kerch Strait Cable,Kerch Strait Cable,110
Khulna-Chennai,Khulna-Chennai,0
Kodiak Kenai Fiber Link,KKFL,0
Korea-Japan Cable Network,KJCN,369
Kuwait-Iran,Kuwait-Iran,480
LANIS-1 Cable System,LANIS-1,3
LANIS-2 Cable System,LANIS-2,3
LANIS-3 Cable System,LANIS-3,0
Latvia-Sweden 1,LV-SE 1,0
LEV Submarine System,LEV,20
Lower Indian Ocean Network,LION,0
Lower Indian Ocean Network 2,LION2,0
Luwuk Tutuyan Cable System (LTCS),LTCS,0
Main One,,1280
Malaysia Domestic (Northern Link),,0
Malaysia Domestic (Southern Link),,0
Malaysia-Thailand,,0
Mariana-Guam Cable,Mariana-Guam,0
MAT-2 Cable System,,0
Mataram Kupang Cable System,MKCS,0
Matrix Cable System,MCS,5120
MAYA-1,MAYA-1,83
MED Cable Network,MED,1280
MedNautilus Submarine System,MedNautilus,3840
Melita 1,,0
Micronesia Cable System,Micronesia,0
Mid-Atlantic Crossing,MAC,920
Middle Caribbean Network,MCN,0
MINERVA,MINERVA,10
Moratelindo International Cable System-1,MIC-1,0
Neptune Canada,,0
Nigeria Cameroon Submarine Cable System (NCSCS),NCSCS,0
NorSea Com-1,NorSea,160
North Pacific Cable,NPC,0
Northern Lights,,0
NorthStar,,0
ODIN Cable System,,0
OMRAN/EPEG Cable System,,0
Pacific Caribbean Cable System,PCCS,0
Pacific Crossing-1,PC-1,640
Palawa-Iloilo Cable System,,0
Pan American,PAN-AM,70
Pan European Crossing (UK-Belgium),PEC,0
Pan-American Crossing,PAC,800
Pangea Baltic Ring,Pangea,1920
Pangea North Cable System,Pangea North,7200
Pangea South Cable System,Pangea South,7200
PCCS/Alonso de Ojeda II,PCCS/Alonso de Ojeda II,0
PGASCOM,,0
Picot-1,,0
PIPE Pacific Cable-1,PPC-1,0
Pishgaman Oman Iran (POI) Network,POI,0
POSEIDON,POSEIDON,0
Qatar-U.A.E. Submarine Cable System,Qatar-U.A.E.,0
Qatar-U.A.E. Submarine Cable System,Qatar-U.A.E.,20
REMBRANDT-1 Cable System,,0
REMBRANDT-2 Cable System,,0
Russia-Japan Cable Network,RJCN,0
Russia-Japan-Korea,RJK,1
Saint Maarten Puerto Rico Network One,SMPR-1,0
Samoa-American Samoa,SAS,1
Saudi Arabia-Sudan-1,SAS-1,1280
Scandinavian Ring North,Scandinavian Ring North,240
Scandinavian Ring South,Scandinavian Ring South,240
SEACOM / Tata TGN Eurasia,SEACOM,1280
SEAK,SEAK,0
Seychelles to East Africa System (SEAS),SEAS,0
Shetland-Faroes 2,SHEFA-2,570
Silphium,,0
SIRIUS NORTH,SIRIUS NORTH,480
SIRIUS SOUTH,SIRIUS SOUTH,480
Sistem Komunikasi Kabel Laut - Jakarta Surabaya,SKKL-JS,0
Skagerrak 4,,0
SMPCS Packet-1,,0
SMPCS Packet-2,,0
SOLAS,SOLAS,5
South Africa Far East,SAFE,440
South America-1,SAm-1,1920
South American Crossing (SAC)/Latin American Nautilus (LAN),SAC/LAN,3840
South Atlantic 2,SAT-2,1
South Atlantic 3,SAT-3/WASC,340
South East Asia - Middle East - Western Europe 3,SEA-ME-WE 3,960
South East Asia-Middle East-Western Europe 4,SEA-ME-WE 4,1280
Southeast Asia Japan Cable,SJC,0
Southern Caribbean Fiber,SCF,0
Southern Cross Cable Network,SCCN,2600
SUB,SUB,0
Subcan Link 1,,0
Subcan Link 2,,0
Submarine Cable Asia Network,SCAN,40
Suriname-Guyana Submarine Cable System,SG-SCS,0
Svalbard Undersea Cable System,Svalbard,0
Sweden-Finland 4,SFS-4,40
Sweden-Finland Link,SFL,5
Taba-Aqaba,,0
TAGIDE 2,TAGIDE 2,5120
Taino-Carib,Taino-Carib,0
Tangerine,Tangerine,240
Tasman-2,Tasman-2,1
TAT-14 (Transatlantic No. 14),TAT-14,3200
Tata TGN-Atlantic,Tata TGN-Atlantic,5243
Tata TGN-Gulf,Tata TGN-Gulf,0
Tata TGN-Intra Asia,TGN-IA,3932
Tata TGN-Pacific / TGN Transpacific,TGN Pacific,2621
Tata TGN-Tata Indicom,TGN-TIC,5
Tata TGN-Western Europe,TGN-Western Europe,3932
TE North/TGN-Eurasia/SEACOM/Alexandros,TE North/Alexandros,1280
Telstra Endeavour,Telstra Endeavour,1280
TERRA SW,,0
TGN Northern Europe (formerly VSNL Northern Europe/Tyco NE),TGN Northern Europe,3932
Thailand-Indonesia-Singapore,TIS,320
Thailand-Vietnam-Hong Kong Cable System,T-V-H,0
The East African Marine System,TEAMS,40
Tierra del Fuego,,0
TISICS,TISICS,0
Tobrok-Emasaed Cable System,Tobrok-Emasaed,0
Tonga Cable / Tonga-Fiji,,0
Trans Pacific Cable System 5,TPC-5,0
Trans-Pacific Express Cable System,TPE,5243
TRANSCAN-3,,0
Transworld Associates Cable System,TWA-1,1280
Trapani-Kelibia,KELTRA-2,20
Trinidad-Curacao,Trinidad-Curacao,1920
Tripoli-Benghazi,Tripoli-Benghazi,0
TT-1,TT-1,0
Turcyos-1,,0
Turcyos-2,,0
UAE-Iran,UAE-Iran,0
UGARIT,UGARIT,1
UK-Channel Islands-7,UK-Channel Islands-7,3
UK-Channel Islands-8,UK-Channel Islands-8,0
UK-France 3,UK-France 3,0
UK-France Cable System,CIRCE South,480
UK-Germany 6,UK-Germany 6,20
UK-Ireland Cable System,CELTIC,0
UK-Ireland Crossing 1,UK-Ireland Crossing 1,80
UK-Ireland Crossing 2,UK-Ireland Crossing 2,80
UK-Netherlands 14,UK-Netherlands 14,0
UK-the Netherlands Cable System,CIRCE NORTH,480
ULYSSES,ULYSSES,0
UNISUR,UNISUR,1
Unity/EAC-Pacific,Unity,7680
Ventspils-Farosund(Gotland)-Stockholm,Ventspils-Farosund-Stockholm,240
Ventspils-Farosund-Stockholm Optical Cable (BCF-1),BCF-1,5
Vodafone Malta-Sicily Cable System,VMSCS,60
WARF Submarine Cable,WARF,0
West African Cable System,WACS,5120
XL Bali Lombok Submarine Cable System,,0
Ãireann Satellite 1,ESAT 1,80
Ãireann Satellite 2,ESAT 2,880
